date,transaction_type,description,category,amount_inr,balance_inr
2024-06-11 23:15:00,Debit,Fast Food,Dining,3656.03,46343.97
2024-06-01 14:20:00,Debit,Cafe,Dining,4670.37,41673.6
2024-07-24 08:20:00,Debit,Fuel Station,Transport,229.2,41444.4
2024-07-09 02:46:00,Credit,Credit from Parent,Groceries,4937.65,46382.05
2024-06-05 08:25:00,Debit,Fast Food,Dining,2025.65,44356.4
2024-07-28 05:06:00,Credit,Credit from Refund,Groceries,411.21,44767.61
2024-06-26 19:54:00,Debit,Supermarket,Groceries,376.24,44391.37
2024-07-01 15:31:00,Debit,Supermarket,Groceries,4998.62,39392.75
2024-07-12 20:23:00,Debit,Bus,Transport,3868.04,35524.71
2024-06-12 03:03:00,Debit,Fast Food,Dining,1312.01,34212.7
2024-06-29 12:50:00,Debit,Gift,Miscellaneous,4774.85,29437.85
2024-07-17 16:21:00,Debit,Gift,Miscellaneous,3391.33,26046.52
2024-07-16 00:20:00,Debit,Electronics Store,Shopping,656.43,25390.09
2024-06-01 12:49:00,Debit,Cafe,Dining,3884.36,21505.73
2024-07-12 11:35:00,Debit,Clothing Store,Shopping,2804.34,18701.39
2024-07-14 17:15:00,Credit,Credit from Refund,Miscellaneous,2077.07,20778.459999999995
2024-07-16 02:05:00,Debit,Fuel Station,Transport,3232.87,17545.589999999997
2024-07-18 04:49:00,Debit,Donation,Miscellaneous,1817.88,15727.71
2024-06-04 16:31:00,Debit,Miscellaneous Purchase,Miscellaneous,2243.63,13484.080000000002
2024-07-28 17:04:00,Debit,Clothing Store,Shopping,2618.55,10865.53
2024-07-08 07:07:00,Debit,Online Shopping,Shopping,3148.22,7717.309999999998
2024-07-30 05:45:00,Debit,Fuel Station,Transport,820.66,6896.649999999994
2024-06-20 22:13:00,Debit,Restaurant,Dining,1365.4,5531.249999999993
2024-07-20 22:52:00,Debit,Cafe,Dining,2513.83,3017.419999999991
2024-06-18 19:38:00,Credit,Credit from Parent,Utilities,1276.71,4294.12999999999
2024-07-29 15:58:00,Credit,Credit from Parent,Utilities,3518.57,7812.69999999999
2024-06-13 19:11:00,Debit,Internet Bill,Utilities,2422.41,5390.289999999994
2024-06-02 21:47:00,Credit,Credit from Parent,Dining,1042.22,6432.509999999995
2024-07-12 01:50:00,Credit,Credit from Parent,Dining,967.35,7399.859999999993
2024-07-16 15:25:00,Debit,Fuel Station,Transport,1844.36,5555.499999999993
2024-07-29 18:54:00,Debit,Local Market,Groceries,1717.49,3838.0099999999943
2024-06-25 20:13:00,Debit,Restaurant,Dining,2457.61,1380.3999999999942
2024-07-17 19:55:00,Credit,Credit from Scholarship,Miscellaneous,4612.27,5992.669999999998
2024-07-10 12:06:00,Debit,Clothing Store,Shopping,514.13,5478.540000000001
2024-07-17 09:23:00,Debit,Electronics Store,Shopping,2729.29,2749.25
2024-06-22 21:51:00,Debit,Donation,Miscellaneous,3823.78,-1074.5299999999988
2024-06-08 21:54:00,Credit,Credit from Refund,Dining,405.47,-669.0599999999977
2024-07-18 23:32:00,Debit,Mobile Recharge,Utilities,4237.76,-4906.82
2024-06-03 16:50:00,Debit,Clothing Store,Shopping,4349.35,-9256.169999999998
2024-06-29 21:26:00,Debit,Mobile Recharge,Utilities,613.86,-9870.03
2024-07-26 13:58:00,Debit,Online Shopping,Shopping,2863.43,-12733.46
2024-06-08 09:07:00,Debit,Donation,Miscellaneous,2723.14,-15456.6
2024-06-07 02:32:00,Debit,Ride Share,Transport,2422.45,-17879.050000000003
2024-07-22 08:49:00,Debit,Supermarket,Groceries,2449.95,-20329.0
2024-06-30 20:41:00,Debit,Donation,Miscellaneous,2832.94,-23161.94
2024-07-24 03:52:00,Debit,Electronics Store,Shopping,1955.99,-25117.930000000008
2024-06-17 14:17:00,Debit,Online Shopping,Shopping,3077.02,-28194.95000000001
2024-07-18 07:48:00,Debit,Electricity Bill,Utilities,1718.71,-29913.660000000014
2024-06-17 07:23:00,Debit,Metro,Transport,1204.13,-31117.790000000023
2024-07-04 17:15:00,Debit,Online Shopping,Shopping,1014.18,-32131.970000000016
2024-06-12 21:59:00,Credit,Credit from Parent,Groceries,353.01,-31778.96000000002
2024-07-26 14:37:00,Debit,Electronics Store,Shopping,4493.39,-36272.35000000002
2024-06-25 22:40:00,Debit,Internet Bill,Utilities,125.97,-36398.32000000002
2024-07-17 14:41:00,Debit,Donation,Miscellaneous,3376.35,-39774.67000000003
2024-07-19 05:59:00,Debit,Internet Bill,Utilities,2435.44,-42210.11000000003
2024-06-14 12:17:00,Debit,Metro,Transport,4843.17,-47053.28000000003
2024-07-17 05:17:00,Debit,Clothing Store,Shopping,3707.61,-50760.89000000003
2024-07-24 14:29:00,Credit,Credit from Scholarship,Groceries,3862.12,-46898.77000000003
2024-07-25 19:53:00,Debit,Mobile Recharge,Utilities,2457.59,-49356.36000000003
2024-07-07 19:15:00,Credit,Credit from Refund,Groceries,1749.36,-47607.00000000003
2024-06-29 07:17:00,Debit,Cafe,Dining,1679.53,-49286.53000000003
2024-06-07 17:32:00,Debit,Online Grocery,Groceries,3439.36,-52725.89000000003
2024-07-02 18:38:00,Debit,Mobile Recharge,Utilities,2410.72,-55136.61000000003
2024-07-21 06:49:00,Debit,Miscellaneous Purchase,Miscellaneous,4654.69,-59791.30000000003
2024-07-20 10:51:00,Debit,Online Shopping,Shopping,709.06,-60500.36000000003
2024-07-16 14:57:00,Credit,Credit from Scholarship,Groceries,988.04,-59512.32000000004
2024-06-26 17:45:00,Debit,Clothing Store,Shopping,784.88,-60297.20000000004
2024-06-23 15:26:00,Credit,Credit from Refund,Miscellaneous,4143.15,-56154.05000000005
2024-06-09 00:14:00,Debit,Water Bill,Utilities,2663.02,-58817.07000000005
2024-06-29 01:17:00,Debit,Metro,Transport,2022.98,-60840.05000000005
2024-06-01 16:56:00,Debit,Miscellaneous Purchase,Miscellaneous,3158.1,-63998.15000000005
2024-07-09 14:31:00,Debit,Supermarket,Groceries,1841.28,-65839.43000000005
2024-06-17 03:27:00,Debit,Cafe,Dining,426.43,-66265.86000000004
2024-06-17 21:00:00,Debit,Water Bill,Utilities,4705.18,-70971.04000000004
2024-07-22 10:25:00,Debit,Fast Food,Dining,4405.28,-75376.32000000004
2024-07-28 11:58:00,Debit,Miscellaneous Purchase,Miscellaneous,2908.44,-78284.76000000004
2024-06-07 10:28:00,Debit,Supermarket,Groceries,3564.2,-81848.96000000005
2024-06-09 11:05:00,Debit,Local Market,Groceries,1102.27,-82951.23000000004
2024-07-15 05:44:00,Credit,Credit from Parent,Transport,3797.71,-79153.52000000003
2024-06-28 03:39:00,Debit,Clothing Store,Shopping,724.69,-79878.21000000004
2024-06-06 22:51:00,Debit,Ride Share,Transport,834.6,-80712.81000000004
2024-06-27 10:04:00,Debit,Clothing Store,Shopping,3628.18,-84340.99000000005
